,City,Temperature(C),Humidity(%),Cloudiness(%),Wind Speed (kph),Latitude,Longitude,Country
0,ushuaia,4.81,75.0,20.0,5.66,-54.8,-68.3,AR
1,vaini,24.09,94.0,75.0,0.0,-21.2,-175.2,TO
2,avarua,26.03,78.0,40.0,2.57,-21.2078,-159.775,CK
3,hobart,17.09,63.0,20.0,4.12,-42.8794,147.3294,AU
4,bay saint louis,21.97,88.0,72.0,5.21,30.3088,-89.33,US
5,mar del plata,14.93,82.0,40.0,7.72,-38.0023,-57.5575,AR
6,viedma,13.03,43.0,2.0,7.71,-40.8135,-62.9967,AR
7,chuy,11.01,75.0,0.0,2.9,-33.6971,-53.4616,UY
8,los llanos de aridane,12.85,80.0,0.0,2.68,28.6585,-17.9182,ES
9,yellowknife,-4.71,74.0,0.0,5.14,62.456,-114.3525,CA
10,tabory,8.58,45.0,81.0,4.08,58.5198,64.5495,RU
11,cape town,12.57,77.0,20.0,2.06,-33.9258,18.4232,ZA
12,mataura,10.82,77.0,98.0,3.57,-46.1927,168.8643,NZ
13,houma,22.15,87.0,0.0,3.6,29.5958,-90.7195,US
14,thompson,-5.91,86.0,75.0,9.26,55.7435,-97.8558,CA
15,bluff,11.0,66.0,97.0,9.82,-46.6,168.3333,NZ
16,saldanha,9.03,76.0,18.0,3.54,-33.0117,17.9442,ZA
17,hermanus,13.9,59.0,64.0,2.37,-34.4187,19.2345,ZA
19,kodiak,5.73,87.0,100.0,6.17,57.79,-152.4072,US
20,tual,29.0,69.0,91.0,1.81,-5.6667,132.75,ID
22,tasiilaq,-2.63,77.0,87.0,3.25,65.6145,-37.6368,GL
23,bredasdorp,12.55,57.0,38.0,2.43,-34.5322,20.0403,ZA
24,ipora,19.86,82.0,56.0,1.29,-16.4419,-51.1178,BR
25,jinchang,22.86,11.0,6.0,4.94,38.4953,102.1739,CN
26,kajaani,3.03,70.0,100.0,0.51,64.2273,27.7285,FI
27,teya,-0.07,91.0,100.0,2.54,60.3778,92.6267,RU
28,north bend,7.28,99.0,20.0,1.54,43.4065,-124.2243,US
29,quatre cocos,26.16,69.0,65.0,7.74,-20.2078,57.7625,MU
30,albany,6.51,54.0,100.0,0.37,42.6001,-73.9662,US
31,butaritari,27.48,78.0,57.0,5.67,3.0707,172.7902,KI
32,rikitea,23.86,79.0,100.0,4.07,-23.1203,-134.9692,PF
33,punta arenas,5.06,93.0,100.0,1.03,-53.15,-70.9167,CL
34,vestmannaeyjar,7.42,87.0,97.0,3.28,63.4427,-20.2734,IS
35,codrington,16.19,66.0,3.0,6.52,-38.2667,141.9667,AU
36,constitucion,13.68,93.0,100.0,4.05,-35.3333,-72.4167,CL
37,upernavik,-20.31,97.0,50.0,2.8,72.7868,-56.1549,GL
38,usinsk,-3.55,77.0,100.0,1.16,65.9939,57.5281,RU
40,lata,8.93,92.0,55.0,1.1,40.1629,-8.3327,PT
41,longyearbyen,-9.09,57.0,40.0,8.23,78.2186,15.6401,SJ
42,qaanaaq,-20.83,78.0,53.0,3.69,77.484,-69.3632,GL
43,guhagar,34.83,47.0,100.0,3.88,17.4842,73.1929,IN
44,carnarvon,28.04,65.0,0.0,6.17,-24.8667,113.6333,AU
45,salalah,29.99,63.0,16.0,5.28,17.0151,54.0924,OM
46,garhshankar,37.76,11.0,0.0,5.58,31.2167,76.1333,IN
47,norman wells,5.02,56.0,20.0,2.57,65.282,-126.8329,CA
48,mahebourg,26.16,69.0,40.0,7.72,-20.4081,57.7,MU
49,lebu,13.46,96.0,76.0,8.3,-37.6167,-73.65,CL
50,toamasina,28.0,69.0,40.0,4.12,-18.1667,49.3833,MG
51,kapaa,23.62,85.0,100.0,8.75,22.0752,-159.319,US
52,hithadhoo,29.38,72.0,100.0,3.34,-0.6,73.0833,MV
53,ljungby,5.61,71.0,19.0,6.4,56.8332,13.9408,SE
54,san andres,28.01,78.0,20.0,3.6,12.5847,-81.7006,CO
56,port alfred,16.21,94.0,40.0,3.13,-33.5906,26.891,ZA
57,maralal,18.96,68.0,90.0,3.43,1.0968,36.698,KE
58,tilichiki,-1.66,84.0,97.0,3.11,60.4667,166.1,RU
59,saint-augustin,-0.39,97.0,100.0,8.42,51.226,-58.6502,CA
60,dikson,-12.5,88.0,100.0,6.37,73.5069,80.5464,RU
61,shache,26.88,12.0,6.0,3.41,38.4167,77.2406,CN
62,ancud,11.79,86.0,100.0,14.2,-41.8697,-73.8203,CL
65,katol,39.73,10.0,18.0,3.85,21.2667,78.5833,IN
66,taungdwingyi,38.21,31.0,64.0,3.38,20.0167,95.55,MM
67,washougal,8.85,74.0,0.0,3.58,45.5826,-122.3534,US
68,makarov,3.44,96.0,100.0,3.84,48.6333,142.8,RU
69,hay river,2.99,52.0,20.0,5.14,60.8156,-115.7999,CA
70,chokurdakh,-14.06,92.0,62.0,1.3,70.6333,147.9167,RU
71,sitka,8.94,61.0,100.0,6.69,57.0531,-135.33,US
72,kavaratti,29.18,70.0,99.0,1.32,10.5669,72.642,IN
73,madison,18.18,74.0,0.0,3.6,34.7334,-86.5667,US
74,castro,14.03,97.0,67.0,0.52,-24.7911,-50.0119,BR
75,jamestown,15.56,69.0,0.0,3.09,42.097,-79.2353,US
76,beringovskiy,-1.82,79.0,98.0,0.37,63.05,179.3167,RU
77,airai,24.27,42.0,22.0,1.89,-8.9266,125.4092,TL
79,torbay,0.74,95.0,100.0,9.26,47.6666,-52.7314,CA
80,ust-kuyga,-8.81,82.0,75.0,2.31,70.0167,135.6,RU
81,ambilobe,28.0,69.0,83.0,3.29,-13.2,49.05,MG
82,puerto escondido,27.05,75.0,16.0,3.22,15.85,-97.0667,MX
83,saint george,13.1,26.0,0.0,6.69,37.1041,-113.5841,US
84,sur,33.92,36.0,55.0,2.56,22.5667,59.5289,OM
86,atuona,26.23,80.0,43.0,8.46,-9.8,-139.0333,PF
87,honningsvag,3.86,87.0,100.0,5.14,70.9821,25.9704,NO
88,laguna,14.07,60.0,0.0,3.09,38.421,-121.4238,US
89,baker city,2.79,67.0,0.0,1.54,44.7749,-117.8344,US
90,busselton,23.78,39.0,29.0,3.11,-33.65,115.3333,AU
91,trang,33.97,55.0,40.0,1.54,7.5,99.5,TH
92,te anau,8.66,85.0,100.0,1.32,-45.4167,167.7167,NZ
94,pevek,-9.02,93.0,83.0,0.57,69.7008,170.3133,RU
95,hammerfest,3.25,100.0,100.0,6.69,70.6634,23.6821,NO
96,nioro,25.9,32.0,0.0,1.41,13.35,-15.75,GM
97,lavrentiya,-4.25,87.0,98.0,0.55,65.5833,-171.0,RU
98,iqaluit,-11.15,79.0,75.0,3.6,63.7506,-68.5145,CA
99,tuktoyaktuk,-8.86,99.0,18.0,2.13,69.4541,-133.0374,CA
100,hilo,21.27,99.0,100.0,2.68,19.7297,-155.09,US
101,devaprayag,34.65,11.0,0.0,2.32,30.15,78.6167,IN
102,cabo san lucas,20.84,71.0,0.0,0.89,22.8909,-109.9124,MX
103,turochak,5.07,37.0,95.0,3.91,52.2576,87.1224,RU
104,ulaangom,5.6,35.0,21.0,13.4,49.9811,92.0667,MN
106,marawi,26.58,73.0,32.0,2.58,7.9986,124.2928,PH
107,kloulklubed,27.28,79.0,100.0,4.94,7.0419,134.2556,PW
108,pokhara,32.08,22.0,0.0,3.9,28.2333,83.9833,NP
109,pontiac,13.88,73.0,0.0,2.57,42.6389,-83.2911,US
111,new norfolk,17.16,52.0,10.0,1.4,-42.7826,147.0587,AU
112,ulkan,0.89,59.0,100.0,2.85,57.243,107.3223,RU
113,biloela,24.82,46.0,84.0,11.01,-24.4167,150.5,AU
114,isangel,27.06,69.0,30.0,2.57,-19.55,169.2667,VU
115,victoria,29.21,77.0,23.0,4.92,22.2855,114.1577,HK
116,eidsvag,9.36,72.0,39.0,2.71,62.7767,8.0668,NO
117,coquimbo,13.85,94.0,100.0,1.54,-29.9533,-71.3436,CL
118,cap malheureux,26.93,64.0,70.0,4.02,-19.9842,57.6142,MU
